lon,lat,group,2015-2019
-179.5,-2.5,demersals,2.03037381135542e-06
-179.5,-2.5,total,0.0972981702421679
-179.5,-1.5,smallPel,0.130928943623544
-179.5,-1.5,largePel,2.5590070729575e-12
-179.5,-1.5,demersals,1.75229229474531e-06
-179.5,-1.5,total,0.130930695918398
-179.5,-0.5,smallPel,0.148291589096239
-179.5,-0.5,largePel,6.69993084139e-06
-179.5,-0.5,demersals,1.66176777310518e-06
-179.5,-0.5,total,0.148299950794854
-179.5,0.5,smallPel,0.180013837092996
-179.5,0.5,largePel,0.00473394151020381
-179.5,0.5,demersals,1.63722930974793e-06
-179.5,0.5,total,0.18474941583251
-179.5,1.5,smallPel,0.188505548607613
-179.5,1.5,largePel,0.0119090641451915
-179.5,1.5,demersals,1.65134839300132e-06
-179.5,1.5,total,0.200416264101197
-179.5,2.5,smallPel,0.200689206179051
-179.5,2.5,largePel,0.00921880088581712
-179.5,2.5,demersals,1.74491001572526e-06
-179.5,2.5,total,0.209909751974884
-179.5,3.5,smallPel,0.165236261331001
-179.5,3.5,largePel,1.01794896027896e-05
-179.5,3.5,demersals,1.98265303712211e-06
-179.5,3.5,total,0.165248423473641
-179.5,4.5,smallPel,0.0985826667351669
-179.5,4.5,largePel,4.15268921467121e-18
-179.5,4.5,demersals,2.30033799179404e-06
-179.5,4.5,total,0.0985849670731587
-179.5,5.5,smallPel,0.0688567107834557
-179.5,5.5,largePel,4.9413207441933e-33
-179.5,5.5,demersals,2.52992908083714e-06
-179.5,5.5,total,0.0688592407125365
-179.5,6.5,smallPel,0.0621628824235038
-179.5,6.5,largePel,1.69654828647525e-45
-179.5,6.5,demersals,2.50407569607066e-06
-179.5,6.5,total,0.0621653864991999
-179.5,7.5,smallPel,0.0456077219902645
-179.5,7.5,largePel,4.26996087912153e-46
-179.5,7.5,demersals,2.34685406554559e-06
-179.5,7.5,total,0.0456100688443301
-179.5,8.5,smallPel,0.0313821143459866
-179.5,8.5,largePel,1.20093050985444e-40
-179.5,8.5,demersals,2.14626356054316e-06
-179.5,8.5,total,0.0313842606095472
-179.5,9.5,smallPel,0.0325340668949986
-179.5,9.5,largePel,3.53459134551151e-37
-179.5,9.5,demersals,1.90027691088509e-06
-179.5,9.5,total,0.0325359671719095
-179.5,10.5,smallPel,0.0195626949590501
-179.5,10.5,largePel,1.37048803622352e-42
-179.5,10.5,demersals,1.56937234625452e-06
-179.5,10.5,total,0.0195642643313964
-179.5,11.5,smallPel,0.0115396094794477
-179.5,11.5,largePel,2.19832556777527e-41
-179.5,11.5,demersals,1.40591839378253e-06
-179.5,11.5,total,0.0115410153978414
-179.5,12.5,smallPel,0.00577243523789533
-179.5,12.5,largePel,1.60746580536174e-37
-179.5,12.5,demersals,1.34116112707038e-06
-179.5,12.5,total,0.0057737763990224
-179.5,13.5,smallPel,0.00253914683964997
-179.5,13.5,largePel,2.47186102474078e-33
-179.5,13.5,demersals,1.28630340278632e-06
-179.5,13.5,total,0.00254043314305275
